,scenario,f,year,type,land,xi
328,SSP2,0.8,2079,projections,4546871214.157277,0.5181203797367919
329,SSP2,0.2,2080,projections,3438753303.080203,0.3838833687448876
330,SSP2,0.4,2080,projections,3780301647.5003686,0.4563927491268615
331,SSP2,0.6,2080,projections,4200802433.959346,0.4898527599231142
332,SSP2,0.8,2080,projections,4542144995.412049,0.5177177280576166
333,SSP2,0.2,2081,projections,3433696449.4343553,0.38111783891856377
334,SSP2,0.4,2081,projections,3772508041.7228622,0.455198074749592
335,SSP2,0.6,2081,projections,4194562172.766352,0.48915228815756034
336,SSP2,0.8,2081,projections,4535485131.743742,0.5173039827362313
337,SSP2,0.2,2082,projections,3429162213.363415,0.37835984463684863
338,SSP2,0.4,2082,projections,3764832121.4160824,0.4539823554501694
339,SSP2,0.6,2082,projections,4188317757.102107,0.4884375972385115
340,SSP2,0.8,2082,projections,4528958979.158228,0.5168801908352567
341,SSP2,0.2,2083,projections,3425229384.203066,0.3756139236802162
342,SSP2,0.4,2083,projections,3757281915.4853373,0.45274802039139833
343,SSP2,0.6,2083,projections,4182010302.526455,0.4877112521345579
344,SSP2,0.8,2083,projections,4522582422.914102,0.516448727623001
345,SSP2,0.2,2084,projections,3421973570.1382575,0.37288586027869397
346,SSP2,0.4,2084,projections,3749806571.3846107,0.4514973596343434
347,SSP2,0.6,2084,projections,4175662870.517879,0.4869756369987878
348,SSP2,0.8,2084,projections,4516232734.062832,0.5160117953078791
349,SSP2,0.2,2085,projections,3419399164.080548,0.3701815365392512
350,SSP2,0.4,2085,projections,3742372011.786374,0.4502323533225707
351,SSP2,0.6,2085,projections,4168916096.975601,0.48623305003551043
352,SSP2,0.8,2085,projections,4509829707.773858,0.5155713534598656
353,SSP2,0.2,2086,projections,3417510751.6413035,0.36750660002352165
354,SSP2,0.4,2086,projections,3735083695.516406,0.4489548438997911
355,SSP2,0.6,2086,projections,4161679223.8754816,0.48548444307219557
356,SSP2,0.8,2086,projections,4503469752.819067,0.5151289428832886
357,SSP2,0.2,2087,projections,3416307429.9280214,0.36486563918444814
358,SSP2,0.4,2087,projections,3727946040.4895654,0.44766561506358327
359,SSP2,0.6,2087,projections,4154463921.979286,0.48473061505215365
360,SSP2,0.8,2087,projections,4497246941.205591,0.5146853275588619
361,SSP2,0.2,2088,projections,3415794270.7307477,0.3622630004102417
362,SSP2,0.4,2088,projections,3721005828.3360243,0.4463651477900993
363,SSP2,0.6,2088,projections,4147336931.4585576,0.4839723008569905
364,SSP2,0.8,2088,projections,4491234505.860741,0.5142409979961017
365,SSP2,0.2,2089,projections,3415987033.3721557,0.35970328626291126
366,SSP2,0.4,2089,projections,3714278096.090307,0.4450541046912855
367,SSP2,0.6,2089,projections,4140312800.5070195,0.4832103146591399
368,SSP2,0.8,2089,projections,4485433978.574114,0.513796564860163
369,SSP2,0.2,2090,projections,3416849563.7749786,0.35719092500412436
370,SSP2,0.4,2090,projections,3707712903.2035093,0.44373292448682755
371,SSP2,0.6,2090,projections,4133316565.1239386,0.4824452723117981
372,SSP2,0.8,2090,projections,4479738948.922783,0.5133523779938582
373,SSP2,0.2,2091,projections,3418371735.993682,0.3547303476119108
374,SSP2,0.4,2091,projections,3701314717.372113,0.4424020436732284
375,SSP2,0.6,2091,projections,4126351630.242521,0.48167774439977556
376,SSP2,0.8,2091,projections,4473393655.050007,0.5129082998770428
377,SSP2,0.2,2092,projections,3420531596.7437754,0.3523264327094728
378,SSP2,0.4,2092,projections,3695082859.222614,0.44106215037801877
379,SSP2,0.6,2092,projections,4119419443.503205,0.48090843465511024
380,SSP2,0.8,2092,projections,4466711108.604094,0.5124631256540396
381,SSP2,0.2,2093,projections,3422989242.6043334,0.34998314323873153
382,SSP2,0.4,2093,projections,3688210242.326272,0.43971264455192227
383,SSP2,0.6,2093,projections,4112520351.855025,0.4801380472094757
384,SSP2,0.8,2093,projections,4460128258.327132,0.512017154904841
385,SSP2,0.2,2094,projections,3425676066.040125,0.34770170982653875
386,SSP2,0.4,2094,projections,3681409983.824732,0.43835244107178345
387,SSP2,0.6,2094,projections,4105625539.5558486,0.4793672310145223
388,SSP2,0.8,2094,projections,4453544970.81358,0.5115706198560903
389,SSP2,0.2,2095,projections,3425438607.5988545,0.3454797295372528
390,SSP2,0.4,2095,projections,3674771985.2553625,0.4369822457478215
391,SSP2,0.6,2095,projections,4098332911.8271503,0.47859655504379023
392,SSP2,0.8,2095,projections,4445425560.243473,0.511122578836058
393,SSP2,0.2,2096,projections,3411042352.6870084,0.3432267637520741
394,SSP2,0.4,2096,projections,3668291052.7109685,0.43560284135599925
395,SSP2,0.6,2096,projections,4087714867.6423755,0.47782308095331427
396,SSP2,0.8,2096,projections,4437212126.126696,0.5106713948464958
397,SSP2,0.2,2097,projections,3397011357.080005,0.3408980412709151
398,SSP2,0.4,2097,projections,3661967167.4890404,0.4342150433178942
399,SSP2,0.6,2097,projections,4077005527.767402,0.47704509163924574
400,SSP2,0.8,2097,projections,4429170866.037313,0.510217536628657
401,SSP2,0.2,2098,projections,3383042540.8662515,0.3385001844682743
402,SSP2,0.4,2098,projections,3655800770.7344437,0.4328197243416292
403,SSP2,0.6,2098,projections,4066204626.085618,0.47626312327410913
404,SSP2,0.8,2098,projections,4421293182.2091875,0.509761475297039
405,SSP2,0.2,2099,projections,3368513398.3921924,0.3360351919890596
406,SSP2,0.4,2099,projections,3649792755.577238,0.4314178295627756
407,SSP2,0.6,2099,projections,4055312318.9916916,0.4754776854223626
408,SSP2,0.8,2099,projections,4413571516.469914,0.5093036544150087
409,SSP2,0.2,2100,projections,3354304274.337649,0.3335086751614232
410,SSP2,0.4,2100,projections,3643944469.1374316,0.4300103885281644
411,SSP2,0.6,2100,projections,4044329115.091146,0.4746892666147155
412,SSP2,0.8,2100,projections,4405970038.2605295,0.5088444705994952
